06/04 09:33:31 PM | Arguments:
06/04 09:33:41 PM | Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.040957	Accuracy: 84.3559%
06/04 09:33:41 PM | Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.094814	Accuracy: 84.6058%
06/04 09:33:41 PM | Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.130140	Accuracy: 84.8459%
06/04 09:33:41 PM | Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.100687	Accuracy: 85.0828%
06/04 09:33:42 PM | Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.118429	Accuracy: 85.2990%
06/04 09:33:42 PM | Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.207919	Accuracy: 85.4552%
06/04 09:33:42 PM | Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.043125	Accuracy: 85.6483%
06/04 09:33:42 PM | Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.152297	Accuracy: 85.8372%
06/04 09:33:42 PM | Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.025779	Accuracy: 86.0223%
06/04 09:33:42 PM | Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.022549	Accuracy: 86.2226%
06/04 09:33:42 PM | Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.159120	Accuracy: 86.4319%
06/04 09:33:43 PM | Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.026407	Accuracy: 86.6265%
06/04 09:33:43 PM | Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.213630	Accuracy: 86.8019%
06/04 09:33:43 PM | Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.052258	Accuracy: 86.9590%
06/04 09:33:43 PM | Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.194519	Accuracy: 87.1211%
06/04 09:33:43 PM | Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.027518	Accuracy: 87.2684%
06/04 09:33:43 PM | Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.099153	Accuracy: 87.4016%
